MA_104105	0	16833
MA_104153	30893	50893
MA_104153	31119	51119
MA_10425867	0	10391
MA_10425975	2349	15549
MA_10426449	6204	26204
MA_10426487	14764	25321
MA_10426920	0	19803
MA_10426920	0	19821
MA_10428107	11049	21381
MA_10430728	24032	44032
MA_10430773	0	11214
MA_10431202	0	12386
MA_10431245	70354	90354
MA_10431282	46019	66019
MA_10431814	0	14240
MA_10432525	0	17262
MA_10432525	0	17263
MA_10432525	0	17268
MA_10432759	0	15476
MA_10432759	0	15476
MA_10432980	0	13473
MA_10433815	60207	74277
MA_10434727	0	10655
MA_10434727	0	10675
MA_10435189	6202	18910
MA_10435494	1839	21839
MA_10436112	34640	54640
MA_10436112	34646	54646
MA_112959	1905	12253
MA_115155	19349	32768
MA_117657	0	10089
MA_117657	0	10096
MA_128129	13756	33756
MA_132243	0	15191
MA_132243	0	15191
MA_13397	5707	25707
MA_134857	0	11107
MA_13968	348	20348
MA_14164	18090	38090
MA_1428	55868	75868
MA_15871	0	15425
MA_168155	8096	28096
MA_17102	23444	35378
MA_17102	23471	35378
MA_17102	23474	35378
MA_17102	23481	35378
MA_17102	23482	35378
MA_173656	0	14650
MA_17692	81480	94948
MA_177408	13611	27601
MA_17746	62168	77579
MA_17845	26835	46835
MA_18040	16738	36738
MA_18040	16805	36805
MA_185797	10239	30239
MA_186354	621	15447
MA_18750	0	16877
MA_1890	27009	47009
MA_19063	14821	34821
MA_19878	16895	36895
MA_20069	52312	72312
MA_21162	7031	27031
MA_21162	7033	27033
MA_21162	7056	27056
MA_2242	0	15702
MA_26307	0	15635
MA_28507	0	15392
MA_30990	0	14697
MA_31	5119	25119
MA_31705	24452	44452
MA_3175	8356	28356
MA_32399	0	12525
MA_32399	0	12537
MA_32399	0	12547
MA_32665	5294	25294
MA_33230	18133	38133
MA_35506	9213	29213
MA_35960	0	17794
MA_38414	0	14261
MA_3859	9068	29068
MA_401219	0	6550
MA_46191	3874	23614
MA_464041	0	8823
MA_47096	2620	17052
MA_4765	15442	35442
MA_4765	15451	35451
MA_4765	15452	35452
MA_4765	15453	35453
MA_4765	15460	35460
MA_4765	15466	35466
MA_4765	15467	35467
MA_4765	15485	35485
MA_4765	15567	35567
MA_4765	15608	35608
MA_4765	15614	35614
MA_501670	0	9980
MA_542988	0	7082
MA_55750	0	13640
MA_69787	674	12348
MA_69787	703	12348
MA_718766	0	5483
MA_7394	27836	47836
MA_7394	27850	47850
MA_76835	628	20628
MA_7691	0	19498
MA_7691	0	19535
MA_774352	0	9638
MA_80159	17187	33167
MA_8263433	0	3654
MA_8263433	0	3654
MA_8622906	0	1205
MA_916	12337	32337
MA_92686	0	19491
MA_92686	0	19496
MA_92686	0	19503
MA_92686	0	19504
MA_9744944	0	872
MA_9744944	0	872
MA_9888646	0	2398
